AB型血	AB型血 🆎️
A型血	A型血 🅰️
B型血	B型血 🅱️
DNA	DNA 🧬
ID	ID 🆔️ 🪪
K歌	K歌 🪩
O型血	O型血 🅾️
WIFI	WIFI 🛜
X光	X光 🩻
〇	〇 0️⃣
耶	耶 ✌🏻️
粑粑	粑粑 💩️
㡌	㡌 🧢
㡌子	㡌子 🧢
一	一 1️⃣
一人	一人 👤️
一个人	一个人 👤️
一分钟	一分钟 ☝🏻️
一卷报纸	一卷报纸 🗞️
一定	一定 🙆🏻
一定女	一定女 🙆🏻‍♀️
一定男	一定男 🙆🏻‍♂️
一家	一家 👨‍👦 👨‍👧 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👧 👩‍👧‍👦
一家三口	一家三口 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👧 👩‍👧‍👦
一家四口	一家四口 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
一小撮	一小撮 🤌🏻
一小会	一小会 ☝🏻️
一摞书	一摞书 📚️
一摞课本	一摞课本 📚️
一撮	一撮 🤌🏻
一束花	一束花 💐️
一杯酒	一杯酒 🥃
一百分	一百分 💯️
一碗饭	一碗饭 🍚️
一碗面	一碗面 🍜️
一群人	一群人 👥️
一边去	一边去 😛️
一阵问	一阵问 ☝🏻️
一点	一点 🕐️
一点半	一点半 🕜️
一点点	一点点 🤌🏻
一齊	一齊 🧑🏻‍🤝‍🧑🏻
七	七 7️⃣
七夕	七夕 🎋️
七夕樹	七夕樹 🎋️
七星瓢虫	七星瓢虫 🐞️
七点	七点 🕖️
七点半	七点半 🕢️
丈夫	丈夫 🤵🏻‍♂️
三	三 3️⃣
三分裤	三分裤 🩳
三戟叉	三戟叉 🔱️
三文治	三文治 🥙 🥪
三明治	三明治 🥙 🥪
三叶草	三叶草 ☘️
三角尺	三角尺 📐️
三角旗	三角旗 🚩️
三辆车	三辆车 🛺
三点	三点 🕒️
三点半	三点半 🕞️
三点裝	三点裝 👙️
上	上 ⬆️
上一首	上一首 ⏮️
上下顛倒	上下顛倒 🙃️
上厕所	上厕所 🚾️
上弦月	上弦月 🌓️ 🌛️
上课	上课 🧑🏻‍🏫
上课女	上课女 👩🏻‍🏫
上课男	上课男 👨🏻‍🏫
上边	上边 👆🏻️
上锁	上锁 🔒️
上面	上面 👆🏻️
上头	上头 👆🏻️
下	下 ⬇️
下一首	下一首 ⏭️
下午好	下午好 🙂️
下大雨	下大雨 ☔️
下弦月	下弦月 🌗️ 🌜️
下跪	下跪 🧎🏻
下跪女	下跪女 🧎🏻‍♀️
下跪男	下跪男 🧎🏻‍♂️
下载邮件	下载邮件 📩️
下边	下边 👇🏻️
下雨	下雨 ☔️ 🌧️
下雪	下雪 🌨️
下面	下面 👇🏻️
下头	下头 👇🏻️
不	不 🙅🏻 🫨
不一定	不一定 😕️
不丹	不丹 🇧🇹
不信	不信 😓️ 😳️
不准	不准 🚫️
禁止	禁止 🚭️
不准看	不准看 🙈️
不准聽	不准聽 🙉️
不没说	不没说 🙊️
不可能	不可能 😛️ 😟️
不告訴你	不告訴你 😏️
不哭	不哭 🤗️
不喜歡	不喜歡 🥴
不女	不女 🙅🏻‍♀️
